player,innings_batted,runs,50s,100s,strike_rate,batting_average,innings_batted_scaled,runs_scaled,50s_scaled,100s_scaled,strike_rate_scaled,batting_average_scaled,batter_score,batter_score_scaled
DL Collins,7,42,0,0,47.41,8.4,0.13548860874781057,-0.6101149543799171,-0.5414927144714782,-0.26885776359858365,-0.287341044539432,-0.7571446484580892,-0.5171919615365795,0.16384501765107984
E Threlkeld,13,241,2,0,39.75,20.08,1.6118472419998149,0.7536867231128563,1.0428748575006246,-0.26885776359858365,-0.6262914532969188,-0.029894956282887034,0.327214960279917,0.35401364165001403
EL Lamb,7,246,0,1,58.81,35.14,0.13548860874781057,0.7879530969192075,-0.5414927144714782,2.56311067963983,0.21710212254090133,0.9078088420183585,0.6874164152213036,0.43513450089316397
GEB Boyce,13,337,2,0,49.41,25.92,1.6118472419998149,1.4116011001947972,1.0428748575006246,-0.26885776359858365,-0.19884224329726832,0.3337298898047143,0.7814912411842406,0.45632106360847857
HE Jones,9,33,0,0,41.15,8.25,0.6276081531651453,-0.6717944272313491,-0.5414927144714782,-0.26885776359858365,-0.5643422924274043,-0.7664843277240379,-0.5776099325296413,0.15023830492560677
KL Cross,6,162,1,0,51.15,32.4,-0.11057116346085678,0.2122780169725091,0.25069107151457326,-0.26885776359858365,-0.1218482862165858,0.7372040340936962,0.2121593644358078,0.32810200618167445
L Heap,5,47,0,0,44.62,9.4,-0.35663093566952414,-0.575848580573566,-0.5414927144714782,-0.26885776359858365,-0.4107968722722503,-0.6948801200184315,-0.5386163304032203,0.15902004210652826
L Jackson,7,81,0,0,27.5,11.57,0.13548860874781057,-0.3428372386903786,-0.5414927144714782,-0.26885776359858365,-1.1683466109051714,-0.5597660933043742,-0.5336423917186921,0.1601402213128486
L Marshall,13,151,0,0,40.26,11.62,1.6118472419998149,0.13689199459853668,-0.5414927144714782,-0.26885776359858365,-0.6037242589801671,-0.5566528668823914,-0.13039918940668255,0.25095449928635793
N Brown,13,251,1,0,54.18,19.31,1.6118472419998149,0.8222194707255586,0.25069107151457326,-0.26885776359858365,0.012227397665292255,-0.07783864318142346,0.4365605402190654,0.3786393261868731
Olivia Thomas,3,17,0,0,10.14,8.5,-0.8487504800868589,-0.7814468234116726,-0.5414927144714782,-0.26885776359858365,-1.9365162056871523,-0.7509181956141234,-0.972092998703354,0.061396894526275475
P Cleary,4,93,1,0,36.98,23.25,-0.6026907078781916,-0.260597941555136,0.25069107151457326,-0.26885776359858365,-0.7488622930173157,0.16748359887082806,-0.2645876825272188,0.22073394988781994
R Duckworth,5,67,0,0,26.46,16.75,-0.35663093566952414,-0.43878308534816163,-0.5414927144714782,-0.26885776359858365,-1.2143659875510966,-0.23723583598694717,-0.5461218238012607,0.15732973223925717
S Ecclestone,5,124,1,0,70.16,31.0,-0.35663093566952414,-0.0481464239557592,0.25069107151457326,-0.26885776359858365,0.71933281959018,0.6500336942781755,0.23346753060590275,0.33290081175256037
S Smale,3,25,0,0,26.03,8.33,-0.8487504800868589,-0.7266206253215108,-0.5414927144714782,-0.26885776359858365,-1.2333932298181618,-0.7615031654488652,-0.8089136083559314,0.09814647500176332
S Turner,2,3,0,0,13.12,1.5,-1.0948102522955263,-0.8773926700694556,-0.5414927144714782,-0.26885776359858365,-1.8046529918363285,-1.1867698946917276,-1.0883693153551457,0.035210340899064795
A Griffiths,7,262,2,0,93.82,37.43,0.13548860874781057,0.897605493099531,1.0428748575006246,-0.26885776359858365,1.7662736382849764,1.0503946121451746,1.0127314071133118,0.5083985904878391
A Shrubsole,3,101,1,0,130.62,50.5,-0.8487504800868589,-0.20577174346497423,0.25069107151457326,-0.26885776359858365,3.394651581140789,1.8641919988515012,0.9158255728306761,0.4865744572567257
