batting_team,partnership,batter1,batter2,partner_labels,net_runs,batter1_runs,batter2_runs,matches
Central Sparks,S Butler & GM Davies,S Butler,GM Davies,S Butler & GM Davies (Central Sparks),6,2,4,1
Central Sparks,S Glenn & CK Boycott,S Glenn,CK Boycott,S Glenn & CK Boycott (Central Sparks),10,3,6,1
Central Sparks,S Glenn & E Jones,S Glenn,E Jones,S Glenn & E Jones (Central Sparks),0,0,0,1
Central Sparks,S Glenn & GM Davies,S Glenn,GM Davies,S Glenn & GM Davies (Central Sparks),54,20,26,2
Central Sparks,S Glenn & IECM Wong,S Glenn,IECM Wong,S Glenn & IECM Wong (Central Sparks),8,6,2,2
Central Sparks,S Glenn & Marie Kelly,S Glenn,Marie Kelly,S Glenn & Marie Kelly (Central Sparks),1,0,1,1
Central Sparks,S Glenn & RA Fackrell,S Glenn,RA Fackrell,S Glenn & RA Fackrell (Central Sparks),65,38,13,2
Central Sparks,S Glenn & TF Brookes,S Glenn,TF Brookes,S Glenn & TF Brookes (Central Sparks),15,11,4,1
Central Sparks,TF Brookes & D Perrin,TF Brookes,D Perrin,TF Brookes & D Perrin (Central Sparks),55,25,24,1
Central Sparks,TF Brookes & IECM Wong,TF Brookes,IECM Wong,TF Brookes & IECM Wong (Central Sparks),29,16,11,3
Central Sparks,TF Brookes & Marie Kelly,TF Brookes,Marie Kelly,TF Brookes & Marie Kelly (Central Sparks),27,6,20,1
Central Sparks,TF Brookes & RA Fackrell,TF Brookes,RA Fackrell,TF Brookes & RA Fackrell (Central Sparks),6,5,1,1
Lightning,AJ Freeborn & AD Presland,AJ Freeborn,AD Presland,AJ Freeborn & AD Presland (Lightning),12,4,5,1
Lightning,AJ Freeborn & B Ellis,AJ Freeborn,B Ellis,AJ Freeborn & B Ellis (Lightning),4,2,1,1
Lightning,AJ Freeborn & KE Bryce,AJ Freeborn,KE Bryce,AJ Freeborn & KE Bryce (Lightning),116,37,68,6
Lightning,AJ Freeborn & LF Higham,AJ Freeborn,LF Higham,AJ Freeborn & LF Higham (Lightning),152,73,70,6
Lightning,AJ Freeborn & N Harman,AJ Freeborn,N Harman,AJ Freeborn & N Harman (Lightning),13,2,11,2
Lightning,AJ Freeborn & SJ Bryce,AJ Freeborn,SJ Bryce,AJ Freeborn & SJ Bryce (Lightning),136,72,56,4
Lightning,AJ Freeborn & T Graves,AJ Freeborn,T Graves,AJ Freeborn & T Graves (Lightning),26,13,10,3
Lightning,B Ellis & KE Bryce,B Ellis,KE Bryce,B Ellis & KE Bryce (Lightning),24,7,15,2
Lightning,E Claridge & KE Bryce,E Claridge,KE Bryce,E Claridge & KE Bryce (Lightning),17,7,6,2
Lightning,G Ballinger & AD Presland,G Ballinger,AD Presland,G Ballinger & AD Presland (Lightning),9,4,4,1
Lightning,G Ballinger & E Claridge,G Ballinger,E Claridge,G Ballinger & E Claridge (Lightning),38,18,19,1
Lightning,G Ballinger & S Munro,G Ballinger,S Munro,G Ballinger & S Munro (Lightning),6,6,0,1
Lightning,Ilenia Sims & AJ Freeborn,Ilenia Sims,AJ Freeborn,Ilenia Sims & AJ Freeborn (Lightning),2,1,1,1
Lightning,J Groves & S Munro,J Groves,S Munro,J Groves & S Munro (Lightning),3,2,0,1
Lightning,KE Bryce & B Harmer,KE Bryce,B Harmer,KE Bryce & B Harmer (Lightning),18,15,2,1
