match_id,season,start_date,innings,batting_team,bowling_team,partnership,runs_off_bat,net_runs,batter1,batter1_runs,batter2,batter2_runs,message,partner_labels
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,E Windsor & CE Dean,25,26,E Windsor,14,CE Dean,11,vs Western Storm (31-08-2020),E Windsor & CE Dean (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,EM McCaughan & CE Dean,12,12,EM McCaughan,5,CE Dean,7,vs Western Storm (31-08-2020),EM McCaughan & CE Dean (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,GL Adams & CE Dean,7,10,GL Adams,3,CE Dean,4,vs Western Storm (31-08-2020),GL Adams & CE Dean (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,GL Adams & DN Wyatt,89,105,GL Adams,36,DN Wyatt,53,vs Western Storm (31-08-2020),GL Adams & DN Wyatt (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,ME Bouchier & GL Adams,32,34,ME Bouchier,16,GL Adams,16,vs Western Storm (31-08-2020),ME Bouchier & GL Adams (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,PJ Scholfield & CE Dean,18,24,PJ Scholfield,9,CE Dean,9,vs Western Storm (31-08-2020),PJ Scholfield & CE Dean (Southern Vipers)
1229330,2020,31-08-2020,1,Southern Vipers,Western Storm,TG Norris & CE Dean,27,29,TG Norris,10,CE Dean,17,vs Western Storm (31-08-2020),TG Norris & CE Dean (Southern Vipers)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,A Griffiths & NAJ Wraith,3,3,A Griffiths,3,NAJ Wraith,0,vs Southern Vipers (31-08-2020),A Griffiths & NAJ Wraith (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,C Nicholas & LA Parfitt,38,47,C Nicholas,22,LA Parfitt,16,vs Southern Vipers (31-08-2020),C Nicholas & LA Parfitt (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,E Corney & LA Parfitt,3,4,E Corney,3,LA Parfitt,0,vs Southern Vipers (31-08-2020),E Corney & LA Parfitt (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,HC Knight & GM Hennessy,5,5,HC Knight,1,GM Hennessy,4,vs Southern Vipers (31-08-2020),HC Knight & GM Hennessy (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,HC Knight & FMK Morris,10,19,HC Knight,6,FMK Morris,4,vs Southern Vipers (31-08-2020),HC Knight & FMK Morris (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,KL George & NAJ Wraith,2,3,KL George,0,NAJ Wraith,2,vs Southern Vipers (31-08-2020),KL George & NAJ Wraith (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,LA Parfitt & N Holland,12,12,LA Parfitt,12,N Holland,0,vs Southern Vipers (31-08-2020),LA Parfitt & N Holland (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,NAJ Wraith & HC Knight,5,6,NAJ Wraith,1,HC Knight,4,vs Southern Vipers (31-08-2020),NAJ Wraith & HC Knight (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,NAJ Wraith & LA Parfitt,9,10,NAJ Wraith,4,LA Parfitt,5,vs Southern Vipers (31-08-2020),NAJ Wraith & LA Parfitt (Western Storm)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,HC Knight & SN Luff,116,130,HC Knight,56,SN Luff,60,vs Southern Vipers (31-08-2020),HC Knight & SN Luff (Western Storm)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,A Capsey & A Cranstone,0,0,A Capsey,0,A Cranstone,0,vs Sunrisers (31-08-2020),A Capsey & A Cranstone (South East Stars)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,AN Davidson-Richards & SIR Dunkley,116,123,AN Davidson-Richards,61,SIR Dunkley,55,vs Sunrisers (31-08-2020),AN Davidson-Richards & SIR Dunkley (South East Stars)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,BF Smith & A Capsey,4,4,BF Smith,4,A Capsey,0,vs Sunrisers (31-08-2020),BF Smith & A Capsey (South East Stars)
