match_id,bowler,bowler_labels,overcounts,runs_conceded,econ_rate,message,wicketcounts,bowling_average,bowler_strikerate
1229346,GL Adams,GL Adams (Southern Vipers),5,21,4.2,vs South East Stars (19/09/2020),,,
1229346,LK Bell,LK Bell (Southern Vipers),10,36,3.6,vs South East Stars (19/09/2020),4,9.0,15.0
1229346,PJ Scholfield,PJ Scholfield (Southern Vipers),8,43,5.38,vs South East Stars (19/09/2020),1,43.0,48.0
1229346,TG Norris,TG Norris (Southern Vipers),5,28,5.6,vs South East Stars (19/09/2020),1,28.0,30.0
1229346,A Capsey,A Capsey (South East Stars),5,28,5.6,vs Southern Vipers (19/09/2020),,,
1229346,AN Davidson-Richards,AN Davidson-Richards (South East Stars),5,27,5.4,vs Southern Vipers (19/09/2020),,,
1229346,BF Smith,BF Smith (South East Stars),2,16,8.0,vs Southern Vipers (19/09/2020),,,
1229346,C Brewer,C Brewer (South East Stars),4,12,3.0,vs Southern Vipers (19/09/2020),,,
1229346,D Gregory,D Gregory (South East Stars),10,44,4.4,vs Southern Vipers (19/09/2020),3,14.67,20.0
1229346,GJ Gibbs,GJ Gibbs (South East Stars),2,17,8.5,vs Southern Vipers (19/09/2020),,,
1229346,HV Jones,HV Jones (South East Stars),10,47,4.7,vs Southern Vipers (19/09/2020),2,23.5,30.0
1229346,NE Farrant,NE Farrant (South East Stars),10,33,3.3,vs Southern Vipers (19/09/2020),1,33.0,60.0
1229347,A Hartley,A Hartley (Thunder),8,35,4.38,vs Northern Diamonds (19/09/2020),1,35.0,48.0
1229347,AE Dyson,AE Dyson (Thunder),3,18,6.0,vs Northern Diamonds (19/09/2020),,,
1229347,HE Jones,HE Jones (Thunder),8,28,3.5,vs Northern Diamonds (19/09/2020),1,28.0,48.0
1229347,L Heap,L Heap (Thunder),4,27,6.75,vs Northern Diamonds (19/09/2020),1,27.0,24.0
1229347,N Brown,N Brown (Thunder),7,35,5.0,vs Northern Diamonds (19/09/2020),,,
1229347,BA Langston,BA Langston (Northern Diamonds),9,18,2.0,vs Thunder (19/09/2020),3,6.0,18.0
1229347,HJ Armitage,HJ Armitage (Northern Diamonds),2,8,4.0,vs Thunder (19/09/2020),,,
1229347,JL Gunn,JL Gunn (Northern Diamonds),6,18,3.0,vs Thunder (19/09/2020),2,9.0,18.0
1229347,KA Levick,KA Levick (Northern Diamonds),8,39,4.88,vs Thunder (19/09/2020),2,19.5,24.0
1229347,LCN Smith,LCN Smith (Northern Diamonds),9,26,2.89,vs Thunder (19/09/2020),1,26.0,54.0
1229347,PC Graham,PC Graham (Northern Diamonds),9,29,3.22,vs Thunder (19/09/2020),2,14.5,27.0
1229348,AD Presland,AD Presland (Lightning),5,27,5.4,vs Central Sparks (19/09/2020),,,
1229348,B Ellis,B Ellis (Lightning),5,25,5.0,vs Central Sparks (19/09/2020),3,8.33,10.0
1229348,KE Bryce,KE Bryce (Lightning),10,54,5.4,vs Central Sparks (19/09/2020),3,18.0,20.0
1229348,KL Gordon,KL Gordon (Lightning),10,40,4.0,vs Central Sparks (19/09/2020),2,20.0,30.0
1229348,LF Higham,LF Higham (Lightning),10,35,3.5,vs Central Sparks (19/09/2020),2,17.5,30.0
1229348,S Munro,S Munro (Lightning),7,42,6.0,vs Central Sparks (19/09/2020),,,
1229348,T Graves,T Graves (Lightning),4,23,5.75,vs Central Sparks (19/09/2020),,,
1229348,Anisha Patel,Anisha Patel (Central Sparks),10,46,4.6,vs Lightning (19/09/2020),2,23.0,30.0
1229348,CK Boycott,CK Boycott (Central Sparks),6,40,6.67,vs Lightning (19/09/2020),1,40.0,36.0
1229348,EA Russell,EA Russell (Central Sparks),8,53,6.62,vs Lightning (19/09/2020),,,
1229348,EL Arlott,EL Arlott (Central Sparks),9,56,6.22,vs Lightning (19/09/2020),,,
1229348,HL Baker,HL Baker (Central Sparks),10,49,4.9,vs Lightning (19/09/2020),1,49.0,60.0
1229348,IECM Wong,IECM Wong (Central Sparks),7,57,8.14,vs Lightning (19/09/2020),,,
