match_id,Winner
202201,Southern Vipers
202202,South East Stars
202203,Western Storm
202204,Northern Diamonds
202205,Central Sparks
202206,Northern Diamonds
202207,Lightning
202208,Southern Vipers
202209,Northern Diamonds
202210,South East Stars
202211,Western Storm
202212,Southern Vipers
202213,Southern Vipers
202214,South East Stars
202215,Northern Diamonds
202216,Thunder
