match_id,season,start_date,batting_team,bowling_team,bowler,wicket_type,player_dismissed
1229331,2020,31-08-2020,Sunrisers,South East Stars,BF Smith,caught,Sonali Patel
1229332,2020,31-08-2020,Thunder,Central Sparks,IECM Wong,bowled,L Marshall
1229332,2020,31-08-2020,Thunder,Central Sparks,EL Arlott,caught,GEB Boyce
1229332,2020,31-08-2020,Thunder,Central Sparks,IECM Wong,bowled,E Threlkeld
1229332,2020,31-08-2020,Thunder,Central Sparks,IECM Wong,caught,EL Lamb
1229332,2020,31-08-2020,Thunder,Central Sparks,CK Boycott,caught,S Ecclestone
1229332,2020,31-08-2020,Thunder,Central Sparks,CK Boycott,bowled,N Brown
1229332,2020,31-08-2020,Thunder,Central Sparks,S Glenn,caught,S Turner
1229332,2020,31-08-2020,Thunder,Central Sparks,GK Davis,caught,KL Cross
1229332,2020,31-08-2020,Thunder,Central Sparks,GK Davis,caught,A Hartley
1229332,2020,31-08-2020,Thunder,Central Sparks,GK Davis,caught,HE Jones
1229332,2020,31-08-2020,Central Sparks,Thunder,N Brown,bowled,AE Jones
1229332,2020,31-08-2020,Central Sparks,Thunder,A Hartley,lbw,E Jones
1229332,2020,31-08-2020,Central Sparks,Thunder,A Hartley,lbw,GM Davies
1229332,2020,31-08-2020,Central Sparks,Thunder,KL Cross,lbw,M Home
1229332,2020,31-08-2020,Central Sparks,Thunder,S Ecclestone,bowled,S Glenn
1229332,2020,31-08-2020,Central Sparks,Thunder,S Ecclestone,caught and bowled,CK Boycott
1229333,2020,31-08-2020,Northern Diamonds,Lightning,KE Bryce,bowled,L Winfield
1229333,2020,31-08-2020,Northern Diamonds,Lightning,KE Bryce,stumped,HJ Armitage
1229333,2020,31-08-2020,Northern Diamonds,Lightning,KE Bryce,lbw,SL Kalis
1229333,2020,31-08-2020,Northern Diamonds,Lightning,KE Bryce,caught and bowled,KH Brunt
1229333,2020,31-08-2020,Northern Diamonds,Lightning,B Ellis,caught,JL Gunn
1229333,2020,31-08-2020,Northern Diamonds,Lightning,B Ellis,bowled,BAM Heath
1229333,2020,31-08-2020,Northern Diamonds,Lightning,T Graves,caught,AL MacDonald
1229333,2020,31-08-2020,Northern Diamonds,Lightning,S Munro,caught,LCN Smith
1229333,2020,31-08-2020,Northern Diamonds,Lightning,KE Bryce,bowled,NR Sciver
1229333,2020,31-08-2020,Lightning,Northern Diamonds,LCN Smith,bowled,TT Beaumont
1229333,2020,31-08-2020,Lightning,Northern Diamonds,LCN Smith,caught,SJ Bryce
1229333,2020,31-08-2020,Lightning,Northern Diamonds,NR Sciver,bowled,B Ellis
1229333,2020,31-08-2020,Lightning,Northern Diamonds,NR Sciver,lbw,LF Higham
1229333,2020,31-08-2020,Lightning,Northern Diamonds,JL Gunn,caught,RA Fackrell
1229333,2020,31-08-2020,Lightning,Northern Diamonds,KH Brunt,bowled,T Graves
1229333,2020,31-08-2020,Lightning,Northern Diamonds,JL Gunn,caught,N Harman
1229334,2020,05-09-2020,Thunder,Central Sparks,Anisha Patel,lbw,L Marshall
1229334,2020,05-09-2020,Thunder,Central Sparks,CK Boycott,bowled,L Jackson
1229334,2020,05-09-2020,Thunder,Central Sparks,CK Boycott,caught,GEB Boyce
1229334,2020,05-09-2020,Thunder,Central Sparks,TF Brookes,run out,E Threlkeld
1229334,2020,05-09-2020,Thunder,Central Sparks,TF Brookes,caught,N Brown
1229334,2020,05-09-2020,Thunder,Central Sparks,CK Boycott,bowled,L Heap
1229334,2020,05-09-2020,Thunder,Central Sparks,TF Brookes,lbw,Olivia Thomas
1229334,2020,05-09-2020,Thunder,Central Sparks,CK Boycott,caught,AE Dyson
1229334,2020,05-09-2020,Central Sparks,Thunder,Olivia Thomas,lbw,GM Davies
1229334,2020,05-09-2020,Central Sparks,Thunder,A Hartley,run out,E Jones
1229335,2020,05-09-2020,Western Storm,Sunrisers,J Gardner,lbw,LA Parfitt
1229335,2020,05-09-2020,Western Storm,Sunrisers,AJ Macleod,lbw,FMK Morris
1229335,2020,05-09-2020,Western Storm,Sunrisers,AJ Macleod,run out,GM Hennessy
1229335,2020,05-09-2020,Western Storm,Sunrisers,G Scrivens,caught,NAJ Wraith
1229335,2020,05-09-2020,Western Storm,Sunrisers,Sonali Patel,lbw,A Griffiths
1229335,2020,05-09-2020,Western Storm,Sunrisers,KJ Wolfe,stumped,SN Luff
1229335,2020,05-09-2020,Sunrisers,Western Storm,L Filer,caught,AD Carr
1229335,2020,05-09-2020,Sunrisers,Western Storm,L Filer,bowled,AJ Macleod
1229335,2020,05-09-2020,Sunrisers,Western Storm,A Griffiths,bowled,CL Griffith
1229335,2020,05-09-2020,Sunrisers,Western Storm,FMK Morris,stumped,ND Dattani
1229335,2020,05-09-2020,Sunrisers,Western Storm,FMK Morris,caught,GKS Gole
1229335,2020,05-09-2020,Sunrisers,Western Storm,S Hutchins,lbw,G Scrivens
1229335,2020,05-09-2020,Sunrisers,Western Storm,FMK Morris,lbw,KS Castle
1229335,2020,05-09-2020,Sunrisers,Western Storm,FMK Morris,bowled,Sonali Patel
1229335,2020,05-09-2020,Sunrisers,Western Storm,FMK Morris,caught,J Gardner
1229335,2020,05-09-2020,Sunrisers,Western Storm,GM Hennessy,caught,KJ Wolfe
1229336,2020,05-09-2020,Lightning,Northern Diamonds,KA Levick,lbw,B Ellis
1229336,2020,05-09-2020,Lightning,Northern Diamonds,JL Gunn,bowled,KE Bryce
1229336,2020,05-09-2020,Lightning,Northern Diamonds,HJ Armitage,caught,SJ Bryce
1229336,2020,05-09-2020,Lightning,Northern Diamonds,HJ Armitage,bowled,AJ Freeborn
1229336,2020,05-09-2020,Lightning,Northern Diamonds,AL MacDonald,caught and bowled,LF Higham
1229336,2020,05-09-2020,Lightning,Northern Diamonds,BA Langston,caught,N Harman
1229336,2020,05-09-2020,Lightning,Northern Diamonds,JL Gunn,lbw,T Graves
1229336,2020,05-09-2020,Lightning,Northern Diamonds,AL MacDonald,caught,S Pai
1229336,2020,05-09-2020,Lightning,Northern Diamonds,JL Gunn,run out,LG Kellogg
1229336,2020,05-09-2020,Lightning,Northern Diamonds,BA Langston,caught,G Ballinger
1229336,2020,05-09-2020,Northern Diamonds,Lightning,LG Kellogg,lbw,RHM Hopkins
1229336,2020,05-09-2020,Northern Diamonds,Lightning,KE Bryce,lbw,SL Kalis
1229336,2020,05-09-2020,Northern Diamonds,Lightning,AD Presland,caught,HJ Armitage
1229336,2020,05-09-2020,Northern Diamonds,Lightning,LF Higham,bowled,L Tipton
1229336,2020,05-09-2020,Northern Diamonds,Lightning,N Harman,caught,A Campbell
1229336,2020,05-09-2020,Northern Diamonds,Lightning,LF Higham,bowled,AL MacDonald
1229336,2020,05-09-2020,Northern Diamonds,Lightning,LF Higham,caught,BAM Heath
1229336,2020,05-09-2020,Northern Diamonds,Lightning,N Harman,lbw,BA Langston
1229337,2020,05-09-2020,Southern Vipers,South East Stars,AG Gordon,caught,GL Adams
1229337,2020,05-09-2020,Southern Vipers,South East Stars,MS Belt,caught,EM McCaughan
1229337,2020,05-09-2020,Southern Vipers,South East Stars,A Capsey,caught,ME Bouchier
1229337,2020,05-09-2020,Southern Vipers,South East Stars,NE Farrant,caught,PJ Scholfield
1229337,2020,05-09-2020,Southern Vipers,South East Stars,E Gray,caught,CE Dean
1229337,2020,05-09-2020,Southern Vipers,South East Stars,NE Farrant,caught,CE Rudd
1229337,2020,05-09-2020,Southern Vipers,South East Stars,E Gray,bowled,TG Norris
1229337,2020,05-09-2020,Southern Vipers,South East Stars,NE Farrant,run out,ER Chandler
1229337,2020,05-09-2020,South East Stars,Southern Vipers,TG Norris,lbw,KE White
1229337,2020,05-09-2020,South East Stars,Southern Vipers,CE Dean,caught,A Capsey
1229337,2020,05-09-2020,South East Stars,Southern Vipers,CM Taylor,caught,M Blythin
1229337,2020,05-09-2020,South East Stars,Southern Vipers,PJ Scholfield,caught,SE Rowe
1229337,2020,05-09-2020,South East Stars,Southern Vipers,TG Norris,run out,A Cranstone
1229337,2020,05-09-2020,South East Stars,Southern Vipers,TG Norris,lbw,NE Farrant
1229337,2020,05-09-2020,South East Stars,Southern Vipers,PJ Scholfield,lbw,R Southby
1229337,2020,05-09-2020,South East Stars,Southern Vipers,PAC Cowdrill,caught,E Gray
1229337,2020,05-09-2020,South East Stars,Southern Vipers,CM Taylor,caught,HV Jones
1229337,2020,05-09-2020,South East Stars,Southern Vipers,TG Norris,caught,MS Belt
1229338,2020,10-09-2020,Northern Diamonds,Thunder,AE Dyson,caught,HJ Armitage
1229338,2020,10-09-2020,Northern Diamonds,Thunder,AE Dyson,bowled,SL Kalis
1229338,2020,10-09-2020,Northern Diamonds,Thunder,N Brown,bowled,A Campbell
1229338,2020,10-09-2020,Northern Diamonds,Thunder,L Jackson,caught,RHM Hopkins
1229338,2020,10-09-2020,Northern Diamonds,Thunder,L Heap,lbw,JL Gunn
1229338,2020,10-09-2020,Northern Diamonds,Thunder,A Hartley,caught,BAM Heath
1229338,2020,10-09-2020,Northern Diamonds,Thunder,A Hartley,stumped,BA Langston
1229338,2020,10-09-2020,Northern Diamonds,Thunder,L Jackson,bowled,AL MacDonald
1229338,2020,10-09-2020,Thunder,Northern Diamonds,BA Langston,bowled,GEB Boyce
1229338,2020,10-09-2020,Thunder,Northern Diamonds,KA Levick,caught,L Marshall
1229338,2020,10-09-2020,Thunder,Northern Diamonds,KA Levick,lbw,E Threlkeld
1229338,2020,10-09-2020,Thunder,Northern Diamonds,KA Levick,caught,N Brown
1229338,2020,10-09-2020,Thunder,Northern Diamonds,AL MacDonald,bowled,DL Collins
1229338,2020,10-09-2020,Thunder,Northern Diamonds,HJ Armitage,lbw,R Duckworth
1229338,2020,10-09-2020,Thunder,Northern Diamonds,BA Langston,bowled,L Jackson
1229338,2020,10-09-2020,Thunder,Northern Diamonds,HJ Armitage,bowled,L Heap
1229339,2020,11-09-2020,South East Stars,Western Storm,L Filer,bowled,A Capsey
1229339,2020,11-09-2020,South East Stars,Western Storm,GM Hennessy,bowled,A Cranstone
1229339,2020,11-09-2020,South East Stars,Western Storm,S Hutchins,run out,KE White
1229339,2020,11-09-2020,South East Stars,Western Storm,E Corney,lbw,AG Gordon
1229339,2020,11-09-2020,South East Stars,Western Storm,S Hutchins,bowled,NE Farrant
