bowler_labels,wicketcounts_2021
KL Gordon (Lightning),16
HE Jones (Thunder),14
IECM Wong (Central Sparks),14
BA Langston (Northern Diamonds),13
CM Taylor (Southern Vipers),13
KA Levick (Northern Diamonds),12
LCN Smith (Northern Diamonds),12
BF Smith (South East Stars),12
GL Adams (Southern Vipers),12
RA Fackrell (Central Sparks),11
TG Norris (Southern Vipers),11
EL Arlott (Central Sparks),11
A Hartley (Thunder),10
CE Dean (Southern Vipers),10
KE Bryce (Lightning),10
KS Castle (Sunrisers),10
JL Gunn (Northern Diamonds),9
GK Davis (Central Sparks),9
KH Brunt (Northern Diamonds),9
NE Farrant (South East Stars),9
LK Bell (Southern Vipers),9
T Graves (Lightning),9
GM Hennessy (Western Storm),9
KL Cross (Thunder),8
S Ecclestone (Thunder),8
Sonali Patel (Sunrisers),7
N Harvey (Western Storm),6
PC Graham (Northern Diamonds),6
PJ Scholfield (Southern Vipers),6
S Glenn (Central Sparks),6
S Munro (Lightning),6
Y Graves (Lightning),6
D Gregory (South East Stars),6
A Capsey (South East Stars),5
GA Elwiss (Southern Vipers),5
MK Villiers (Sunrisers),5
L Filer (Western Storm),5
FMK Morris (Western Storm),5
LF Higham (Lightning),5
G Scrivens (Sunrisers),4
A Shrubsole (Western Storm),4
PA Franklin (South East Stars),4
G Ballinger (Lightning),4
GJ Gibbs (South East Stars),4
AN Davidson-Richards (South East Stars),4
L Jackson (Thunder),4
EA Russell (Central Sparks),4
ND Dattani (Sunrisers),3
E Jones (Central Sparks),3
DN Wyatt (Southern Vipers),3
EL Lamb (Thunder),3
C Nicholas (Western Storm),3
FR Davies (South East Stars),3
KL Coppack (Sunrisers),3
DR Gibson (Western Storm),3
NR Sciver (Northern Diamonds),2
R MacDonald-Gay (South East Stars),2
R Slater (Northern Diamonds),2
P Cleary (Thunder),2
AE Dyson (Thunder),2
HJ Armitage (Northern Diamonds),2
S Hutchins (Western Storm),2
SB Odedra (Lightning),2
AJ Macleod (Sunrisers),2
K Moore (South East Stars),2
S Butler (Central Sparks),2
AZ Monaghan (Southern Vipers),1
Anisha Patel (Central Sparks),1
HC Knight (Western Storm),1
N Brown (Thunder),1
ME Bouchier (Southern Vipers),1
L Heap (Thunder),1
Emma Jones (South East Stars),1
KL Midwood (Sunrisers),1
J Gardner (Sunrisers),1
GKS Gole (Sunrisers),1
Marie Kelly (Central Sparks),1
