batting_team,partnership,batter1,batter2,batter1_runs,batter2_runs,from_node,to_node
Lightning,AJ Freeborn & KE Bryce,AJ Freeborn,KE Bryce,37,68,AJ Freeborn,KE Bryce
Lightning,AJ Freeborn & LF Higham,AJ Freeborn,LF Higham,73,70,LF Higham,AJ Freeborn
Lightning,AJ Freeborn & N Harman,AJ Freeborn,N Harman,2,11,AJ Freeborn,N Harman
Lightning,AJ Freeborn & SJ Bryce,AJ Freeborn,SJ Bryce,72,56,SJ Bryce,AJ Freeborn
Lightning,AJ Freeborn & T Graves,AJ Freeborn,T Graves,13,10,T Graves,AJ Freeborn
Lightning,B Ellis & KE Bryce,B Ellis,KE Bryce,7,15,B Ellis,KE Bryce
Lightning,E Claridge & KE Bryce,E Claridge,KE Bryce,7,6,KE Bryce,E Claridge
Lightning,G Ballinger & AD Presland,G Ballinger,AD Presland,4,4,G Ballinger,AD Presland
Lightning,G Ballinger & E Claridge,G Ballinger,E Claridge,18,19,G Ballinger,E Claridge
Lightning,G Ballinger & S Munro,G Ballinger,S Munro,6,0,S Munro,G Ballinger
Lightning,Ilenia Sims & AJ Freeborn,Ilenia Sims,AJ Freeborn,1,1,Ilenia Sims,AJ Freeborn
Lightning,J Groves & S Munro,J Groves,S Munro,2,0,S Munro,J Groves
Lightning,KE Bryce & B Harmer,KE Bryce,B Harmer,15,2,B Harmer,KE Bryce
Lightning,KE Bryce & KL Gordon,KE Bryce,KL Gordon,13,8,KL Gordon,KE Bryce
Lightning,KE Bryce & ML Kirk,KE Bryce,ML Kirk,12,30,KE Bryce,ML Kirk
Lightning,KE Bryce & RA Fackrell,KE Bryce,RA Fackrell,42,8,RA Fackrell,KE Bryce
Lightning,KE Bryce & SB Odedra,KE Bryce,SB Odedra,47,24,SB Odedra,KE Bryce
Lightning,KE Bryce & SJ Bryce,KE Bryce,SJ Bryce,189,199,KE Bryce,SJ Bryce
Lightning,KE Bryce & T Graves,KE Bryce,T Graves,26,18,T Graves,KE Bryce
Lightning,KE Bryce & TT Beaumont,KE Bryce,TT Beaumont,61,50,TT Beaumont,KE Bryce
Lightning,KL Gordon & E Claridge,KL Gordon,E Claridge,3,12,KL Gordon,E Claridge
Lightning,KL Gordon & S Munro,KL Gordon,S Munro,23,15,S Munro,KL Gordon
Lightning,KL Gordon & Y Graves,KL Gordon,Y Graves,25,19,Y Graves,KL Gordon
Lightning,LF Higham & E Claridge,LF Higham,E Claridge,7,7,LF Higham,E Claridge
Lightning,LF Higham & SJ Bryce,LF Higham,SJ Bryce,3,3,LF Higham,SJ Bryce
Lightning,LF Higham & T Graves,LF Higham,T Graves,39,54,LF Higham,T Graves
Lightning,LF Higham & TT Beaumont,LF Higham,TT Beaumont,24,35,LF Higham,TT Beaumont
Lightning,LG Kellogg & G Ballinger,LG Kellogg,G Ballinger,0,1,LG Kellogg,G Ballinger
Lightning,LG Kellogg & S Pai,LG Kellogg,S Pai,1,6,LG Kellogg,S Pai
Lightning,ML Kirk & TT Beaumont,ML Kirk,TT Beaumont,0,1,ML Kirk,TT Beaumont
Lightning,N Harman & S Munro,N Harman,S Munro,11,2,S Munro,N Harman
Lightning,N Harman & T Graves,N Harman,T Graves,21,30,N Harman,T Graves
Lightning,S Munro & AJ Freeborn,S Munro,AJ Freeborn,3,8,S Munro,AJ Freeborn
Lightning,S Munro & E Claridge,S Munro,E Claridge,3,0,E Claridge,S Munro
Lightning,S Pai & AJ Freeborn,S Pai,AJ Freeborn,8,10,S Pai,AJ Freeborn
Lightning,S Pai & ML Kirk,S Pai,ML Kirk,9,6,ML Kirk,S Pai
Lightning,S Pai & T Graves,S Pai,T Graves,9,5,T Graves,S Pai
Lightning,SB Odedra & AJ Freeborn,SB Odedra,AJ Freeborn,24,21,AJ Freeborn,SB Odedra
Lightning,SB Odedra & TT Beaumont,SB Odedra,TT Beaumont,15,17,SB Odedra,TT Beaumont
Lightning,SJ Bryce & B Ellis,SJ Bryce,B Ellis,135,116,B Ellis,SJ Bryce
Lightning,SJ Bryce & B Harmer,SJ Bryce,B Harmer,30,19,B Harmer,SJ Bryce
Lightning,SJ Bryce & ML Kirk,SJ Bryce,ML Kirk,16,27,SJ Bryce,ML Kirk
Lightning,SJ Bryce & N Harman,SJ Bryce,N Harman,12,0,N Harman,SJ Bryce
Lightning,T Graves & ML Kirk,T Graves,ML Kirk,5,8,T Graves,ML Kirk
Lightning,T Graves & SB Odedra,T Graves,SB Odedra,5,0,SB Odedra,T Graves
Lightning,T Graves & SJ Bryce,T Graves,SJ Bryce,65,52,SJ Bryce,T Graves
Lightning,T Graves & Y Graves,T Graves,Y Graves,25,21,Y Graves,T Graves
Lightning,TT Beaumont & AJ Freeborn,TT Beaumont,AJ Freeborn,18,29,TT Beaumont,AJ Freeborn
Lightning,TT Beaumont & SJ Bryce,TT Beaumont,SJ Bryce,99,94,SJ Bryce,TT Beaumont
Lightning,Y Graves & E Claridge,Y Graves,E Claridge,8,1,E Claridge,Y Graves
Lightning,Y Graves & S Munro,Y Graves,S Munro,5,2,S Munro,Y Graves
Northern Diamonds,A Campbell & HJ Armitage,A Campbell,HJ Armitage,22,26,A Campbell,HJ Armitage
Northern Diamonds,A Campbell & KH Brunt,A Campbell,KH Brunt,4,0,KH Brunt,A Campbell
Northern Diamonds,A Campbell & L Dobson,A Campbell,L Dobson,26,10,L Dobson,A Campbell
Northern Diamonds,A Campbell & RHM Hopkins,A Campbell,RHM Hopkins,15,3,RHM Hopkins,A Campbell
Northern Diamonds,A Campbell & SL Kalis,A Campbell,SL Kalis,115,72,SL Kalis,A Campbell
Northern Diamonds,AL MacDonald & BA Langston,AL MacDonald,BA Langston,12,12,AL MacDonald,BA Langston
Northern Diamonds,AL MacDonald & NR Sciver,AL MacDonald,NR Sciver,28,48,AL MacDonald,NR Sciver
Northern Diamonds,AL MacDonald & RHM Hopkins,AL MacDonald,RHM Hopkins,4,5,AL MacDonald,RHM Hopkins
Northern Diamonds,BA Langston & BAM Heath,BA Langston,BAM Heath,58,33,BAM Heath,BA Langston
Northern Diamonds,BA Langston & SL Kalis,BA Langston,SL Kalis,56,61,BA Langston,SL Kalis
Northern Diamonds,BAM Heath & A Campbell,BAM Heath,A Campbell,49,51,BAM Heath,A Campbell
Northern Diamonds,BAM Heath & AL MacDonald,BAM Heath,AL MacDonald,28,16,AL MacDonald,BAM Heath
Northern Diamonds,BAM Heath & HJ Armitage,BAM Heath,HJ Armitage,32,22,HJ Armitage,BAM Heath
Northern Diamonds,BAM Heath & SL Kalis,BAM Heath,SL Kalis,6,12,BAM Heath,SL Kalis
Northern Diamonds,HJ Armitage & LCN Smith,HJ Armitage,LCN Smith,16,14,LCN Smith,HJ Armitage
Northern Diamonds,HJ Armitage & RHM Hopkins,HJ Armitage,RHM Hopkins,104,38,RHM Hopkins,HJ Armitage
Northern Diamonds,HL Fenby & AL MacDonald,HL Fenby,AL MacDonald,1,1,HL Fenby,AL MacDonald
Northern Diamonds,HL Fenby & BA Langston,HL Fenby,BA Langston,11,13,HL Fenby,BA Langston
Northern Diamonds,HL Fenby & PC Graham,HL Fenby,PC Graham,6,15,HL Fenby,PC Graham
Northern Diamonds,JL Gunn & A Campbell,JL Gunn,A Campbell,5,1,A Campbell,JL Gunn
Northern Diamonds,JL Gunn & AL MacDonald,JL Gunn,AL MacDonald,68,86,JL Gunn,AL MacDonald
Northern Diamonds,JL Gunn & BA Langston,JL Gunn,BA Langston,42,50,JL Gunn,BA Langston
Northern Diamonds,JL Gunn & BAM Heath,JL Gunn,BAM Heath,7,6,BAM Heath,JL Gunn
Northern Diamonds,JL Gunn & NR Sciver,JL Gunn,NR Sciver,20,28,JL Gunn,NR Sciver
Northern Diamonds,JL Gunn & SL Kalis,JL Gunn,SL Kalis,100,82,SL Kalis,JL Gunn
Northern Diamonds,KA Levick & A Campbell,KA Levick,A Campbell,8,19,KA Levick,A Campbell
Northern Diamonds,KA Levick & BA Langston,KA Levick,BA Langston,8,10,KA Levick,BA Langston
Northern Diamonds,KA Levick & HL Fenby,KA Levick,HL Fenby,3,1,HL Fenby,KA Levick
Northern Diamonds,KA Levick & PC Graham,KA Levick,PC Graham,8,11,KA Levick,PC Graham
Northern Diamonds,KH Brunt & JL Gunn,KH Brunt,JL Gunn,21,8,JL Gunn,KH Brunt
Northern Diamonds,KH Brunt & L Winfield,KH Brunt,L Winfield,22,34,KH Brunt,L Winfield
Northern Diamonds,KH Brunt & NR Sciver,KH Brunt,NR Sciver,5,4,NR Sciver,KH Brunt
Northern Diamonds,KH Brunt & SL Kalis,KH Brunt,SL Kalis,1,1,KH Brunt,SL Kalis
Northern Diamonds,L Dobson & BAM Heath,L Dobson,BAM Heath,33,26,BAM Heath,L Dobson
Northern Diamonds,L Dobson & HJ Armitage,L Dobson,HJ Armitage,16,16,L Dobson,HJ Armitage
Northern Diamonds,L Dobson & SL Kalis,L Dobson,SL Kalis,15,19,L Dobson,SL Kalis
Northern Diamonds,L Tipton & A Campbell,L Tipton,A Campbell,14,11,A Campbell,L Tipton
Northern Diamonds,L Winfield & HJ Armitage,L Winfield,HJ Armitage,124,93,HJ Armitage,L Winfield
Northern Diamonds,LCN Smith & BA Langston,LCN Smith,BA Langston,8,33,LCN Smith,BA Langston
Northern Diamonds,LCN Smith & BAM Heath,LCN Smith,BAM Heath,37,66,LCN Smith,BAM Heath
Northern Diamonds,LCN Smith & EF Telford,LCN Smith,EF Telford,4,0,EF Telford,LCN Smith
Northern Diamonds,LCN Smith & PC Graham,LCN Smith,PC Graham,2,1,PC Graham,LCN Smith
Northern Diamonds,NR Sciver & BA Langston,NR Sciver,BA Langston,1,2,NR Sciver,BA Langston
Northern Diamonds,NR Sciver & BAM Heath,NR Sciver,BAM Heath,2,3,NR Sciver,BAM Heath
Northern Diamonds,NR Sciver & HJ Armitage,NR Sciver,HJ Armitage,30,21,HJ Armitage,NR Sciver
Northern Diamonds,NR Sciver & L Winfield,NR Sciver,L Winfield,7,9,NR Sciver,L Winfield
Northern Diamonds,NR Sciver & LCN Smith,NR Sciver,LCN Smith,14,23,NR Sciver,LCN Smith
Northern Diamonds,PC Graham & A Campbell,PC Graham,A Campbell,0,1,PC Graham,A Campbell
Northern Diamonds,PC Graham & AL MacDonald,PC Graham,AL MacDonald,14,26,PC Graham,AL MacDonald
Northern Diamonds,PC Graham & JL Gunn,PC Graham,JL Gunn,15,8,JL Gunn,PC Graham
Northern Diamonds,PC Graham & SL Kalis,PC Graham,SL Kalis,5,8,PC Graham,SL Kalis
Northern Diamonds,R Slater & A Campbell,R Slater,A Campbell,6,28,R Slater,A Campbell
Northern Diamonds,SL Kalis & AL MacDonald,SL Kalis,AL MacDonald,1,6,SL Kalis,AL MacDonald
Northern Diamonds,SL Kalis & HJ Armitage,SL Kalis,HJ Armitage,80,75,HJ Armitage,SL Kalis
Northern Diamonds,SL Kalis & L Winfield,SL Kalis,L Winfield,36,61,SL Kalis,L Winfield
Northern Diamonds,SL Kalis & LCN Smith,SL Kalis,LCN Smith,22,24,SL Kalis,LCN Smith
Northern Diamonds,SL Kalis & RHM Hopkins,SL Kalis,RHM Hopkins,91,51,RHM Hopkins,SL Kalis
Northern Diamonds,SL Kalis & SJ Taylor,SL Kalis,SJ Taylor,2,2,SL Kalis,SJ Taylor
South East Stars,A Capsey & A Cranstone,A Capsey,A Cranstone,129,83,A Cranstone,A Capsey
South East Stars,A Capsey & C Brewer,A Capsey,C Brewer,29,47,A Capsey,C Brewer
South East Stars,A Capsey & Emma Jones,A Capsey,Emma Jones,1,0,Emma Jones,A Capsey
South East Stars,A Capsey & K Moore,A Capsey,K Moore,9,7,K Moore,A Capsey
South East Stars,A Capsey & KM Chathli,A Capsey,KM Chathli,13,10,KM Chathli,A Capsey
South East Stars,A Cranstone & AN Davidson-Richards,A Cranstone,AN Davidson-Richards,3,6,A Cranstone,AN Davidson-Richards
South East Stars,A Cranstone & C Brewer,A Cranstone,C Brewer,26,56,A Cranstone,C Brewer
South East Stars,A Cranstone & GJ Gibbs,A Cranstone,GJ Gibbs,16,7,GJ Gibbs,A Cranstone
South East Stars,A Cranstone & KE White,A Cranstone,KE White,57,50,KE White,A Cranstone
South East Stars,AG Gordon & A Capsey,AG Gordon,A Capsey,7,7,AG Gordon,A Capsey
South East Stars,AN Davidson-Richards & K Moore,AN Davidson-Richards,K Moore,1,0,K Moore,AN Davidson-Richards
South East Stars,AN Davidson-Richards & KE White,AN Davidson-Richards,KE White,3,4,AN Davidson-Richards,KE White
South East Stars,AN Davidson-Richards & PA Franklin,AN Davidson-Richards,PA Franklin,4,5,AN Davidson-Richards,PA Franklin
South East Stars,AN Davidson-Richards & SIR Dunkley,AN Davidson-Richards,SIR Dunkley,158,125,SIR Dunkley,AN Davidson-Richards
South East Stars,BF Smith & A Capsey,BF Smith,A Capsey,77,44,A Capsey,BF Smith
South East Stars,BF Smith & AN Davidson-Richards,BF Smith,AN Davidson-Richards,137,68,AN Davidson-Richards,BF Smith
South East Stars,BF Smith & C Brewer,BF Smith,C Brewer,8,4,C Brewer,BF Smith
South East Stars,C Brewer & K Moore,C Brewer,K Moore,17,3,K Moore,C Brewer
South East Stars,D Gregory & K Moore,D Gregory,K Moore,0,1,D Gregory,K Moore
South East Stars,E Gray & HV Jones,E Gray,HV Jones,3,11,E Gray,HV Jones
South East Stars,Emma Jones & D Gregory,Emma Jones,D Gregory,6,1,D Gregory,Emma Jones
South East Stars,Emma Jones & K Moore,Emma Jones,K Moore,14,36,Emma Jones,K Moore
South East Stars,FR Davies & D Gregory,FR Davies,D Gregory,5,1,D Gregory,FR Davies
South East Stars,FR Davies & NE Farrant,FR Davies,NE Farrant,14,28,FR Davies,NE Farrant
South East Stars,GJ Gibbs & BF Smith,GJ Gibbs,BF Smith,23,18,BF Smith,GJ Gibbs
South East Stars,GJ Gibbs & KM Chathli,GJ Gibbs,KM Chathli,1,4,GJ Gibbs,KM Chathli
South East Stars,GJ Gibbs & NE Farrant,GJ Gibbs,NE Farrant,1,3,GJ Gibbs,NE Farrant
South East Stars,GJ Gibbs & R Southby,GJ Gibbs,R Southby,35,14,R Southby,GJ Gibbs
South East Stars,HV Jones & A Cranstone,HV Jones,A Cranstone,1,0,A Cranstone,HV Jones
South East Stars,HV Jones & AG Gordon,HV Jones,AG Gordon,5,1,AG Gordon,HV Jones
South East Stars,HV Jones & M Blythin,HV Jones,M Blythin,28,9,M Blythin,HV Jones
South East Stars,HV Jones & NE Farrant,HV Jones,NE Farrant,5,4,NE Farrant,HV Jones
South East Stars,HV Jones & PA Franklin,HV Jones,PA Franklin,8,8,HV Jones,PA Franklin
South East Stars,HV Jones & SE Rowe,HV Jones,SE Rowe,16,28,HV Jones,SE Rowe
South East Stars,K Moore & GJ Gibbs,K Moore,GJ Gibbs,18,11,GJ Gibbs,K Moore
South East Stars,K Moore & KM Chathli,K Moore,KM Chathli,3,1,KM Chathli,K Moore
South East Stars,KE White & A Capsey,KE White,A Capsey,52,33,A Capsey,KE White
