match_id,batting_team,partnership,net_runs,batter1,batter1_runs,batter2,batter2_runs,innings,from_node,to_node,Winner
1229337,Southern Vipers,CM Taylor & AZ Monaghan,1.0,CM Taylor,1.0,AZ Monaghan,0.0,1.0,AZ Monaghan,CM Taylor,Southern Vipers
1229337,Southern Vipers,ER Chandler & AZ Monaghan,8.0,ER Chandler,5.0,AZ Monaghan,1.0,1.0,AZ Monaghan,ER Chandler,Southern Vipers
1229337,Southern Vipers,GL Adams & EM McCaughan,84.0,GL Adams,44.0,EM McCaughan,37.0,1.0,EM McCaughan,GL Adams,Southern Vipers
1229337,Southern Vipers,ME Bouchier & CE Dean,15.0,ME Bouchier,8.0,CE Dean,7.0,1.0,CE Dean,ME Bouchier,Southern Vipers
1229337,Southern Vipers,ME Bouchier & EM McCaughan,35.0,ME Bouchier,20.0,EM McCaughan,13.0,1.0,EM McCaughan,ME Bouchier,Southern Vipers
1229337,Southern Vipers,TG Norris & CE Rudd,11.0,TG Norris,7.0,CE Rudd,3.0,1.0,CE Rudd,TG Norris,Southern Vipers
1229340,Southern Vipers,AZ Monaghan & CE Rudd,26.0,AZ Monaghan,5.0,CE Rudd,19.0,1.0,AZ Monaghan,CE Rudd,Southern Vipers
1229340,Southern Vipers,GL Adams & CE Dean,64.0,GL Adams,23.0,CE Dean,39.0,1.0,GL Adams,CE Dean,Southern Vipers
1229340,Southern Vipers,CE Rudd & GL Adams,1.0,CE Rudd,0.0,GL Adams,1.0,1.0,CE Rudd,GL Adams,Southern Vipers
1229340,Southern Vipers,CM Taylor & AZ Monaghan,13.0,CM Taylor,9.0,AZ Monaghan,3.0,1.0,AZ Monaghan,CM Taylor,Southern Vipers
1229340,Southern Vipers,CM Taylor & PAC Cowdrill,9.0,CM Taylor,3.0,PAC Cowdrill,4.0,1.0,CM Taylor,PAC Cowdrill,Southern Vipers
1229340,Southern Vipers,E Windsor & GL Adams,44.0,E Windsor,14.0,GL Adams,27.0,1.0,E Windsor,GL Adams,Southern Vipers
1229340,Southern Vipers,GL Adams & EM McCaughan,10.0,GL Adams,2.0,EM McCaughan,8.0,1.0,GL Adams,EM McCaughan,Southern Vipers
1229340,Southern Vipers,GL Adams & PJ Scholfield,31.0,GL Adams,22.0,PJ Scholfield,8.0,1.0,PJ Scholfield,GL Adams,Southern Vipers
1229340,Southern Vipers,ME Bouchier & GL Adams,34.0,ME Bouchier,18.0,GL Adams,14.0,1.0,GL Adams,ME Bouchier,Southern Vipers
1229340,Sunrisers,AJ Macleod & CL Griffith,6.0,AJ Macleod,5.0,CL Griffith,1.0,2.0,CL Griffith,AJ Macleod,Southern Vipers
1229340,Sunrisers,AJ Macleod & G Scrivens,22.0,AJ Macleod,8.0,G Scrivens,9.0,2.0,AJ Macleod,G Scrivens,Southern Vipers
1229340,Sunrisers,E Thorpe & KL Midwood,14.0,E Thorpe,11.0,KL Midwood,3.0,2.0,KL Midwood,E Thorpe,Southern Vipers
1229340,Sunrisers,KJ Wolfe & KL Midwood,9.0,KJ Wolfe,7.0,KL Midwood,2.0,2.0,KL Midwood,KJ Wolfe,Southern Vipers
1229340,Sunrisers,KL Midwood & J Gardner,2.0,KL Midwood,2.0,J Gardner,0.0,2.0,J Gardner,KL Midwood,Southern Vipers
1229340,Sunrisers,KS Castle & G Scrivens,9.0,KS Castle,4.0,G Scrivens,4.0,2.0,KS Castle,G Scrivens,Southern Vipers
1229340,Sunrisers,KS Castle & J Gardner,63.0,KS Castle,20.0,J Gardner,39.0,2.0,KS Castle,J Gardner,Southern Vipers
1229340,Sunrisers,ND Dattani & AJ Macleod,48.0,ND Dattani,20.0,AJ Macleod,22.0,2.0,ND Dattani,AJ Macleod,Southern Vipers
1229340,Sunrisers,Sonali Patel & KL Midwood,10.0,Sonali Patel,4.0,KL Midwood,5.0,2.0,Sonali Patel,KL Midwood,Southern Vipers
1229342,Southern Vipers,GL Adams & EM McCaughan,155.0,GL Adams,74.0,EM McCaughan,63.0,1.0,EM McCaughan,GL Adams,Southern Vipers
1229342,Southern Vipers,ME Bouchier & GL Adams,133.0,ME Bouchier,50.0,GL Adams,80.0,1.0,ME Bouchier,GL Adams,Southern Vipers
1229343,Sunrisers,CL Griffith & AD Carr,13.0,CL Griffith,1.0,AD Carr,6.0,1.0,CL Griffith,AD Carr,South East Stars
1229343,Sunrisers,AJ Macleod & CL Griffith,4.0,AJ Macleod,3.0,CL Griffith,1.0,1.0,CL Griffith,AJ Macleod,South East Stars
1229343,Sunrisers,H Brown & ND Dattani,22.0,H Brown,6.0,ND Dattani,14.0,1.0,H Brown,ND Dattani,South East Stars
1229343,Sunrisers,G Scrivens & J Gardner,28.0,G Scrivens,16.0,J Gardner,7.0,1.0,J Gardner,G Scrivens,South East Stars
1229343,Sunrisers,J Gardner & H Brown,24.0,J Gardner,14.0,H Brown,10.0,1.0,H Brown,J Gardner,South East Stars
1229343,Sunrisers,Sonali Patel & KJ Wolfe,2.0,Sonali Patel,0.0,KJ Wolfe,1.0,1.0,Sonali Patel,KJ Wolfe,South East Stars
1229343,Sunrisers,KL Midwood & J Gardner,35.0,KL Midwood,22.0,J Gardner,9.0,1.0,J Gardner,KL Midwood,South East Stars
1229343,Sunrisers,ND Dattani & CL Griffith,55.0,ND Dattani,19.0,CL Griffith,25.0,1.0,ND Dattani,CL Griffith,South East Stars
1229343,Sunrisers,Sonali Patel & KL Midwood,15.0,Sonali Patel,9.0,KL Midwood,5.0,1.0,KL Midwood,Sonali Patel,South East Stars
