bowler,bowler_labels,econ_rate,overcounts,overs_bowled
S Butler,S Butler (Central Sparks),6.47,21,11 - 30
S Ecclestone,S Ecclestone (Thunder),3.28,48,31 - 70
S Glenn,S Glenn (Central Sparks),3.66,53,31 - 70
S Hutchins,S Hutchins (Western Storm),4.59,36,31 - 70
S Munro,S Munro (Lightning),4.98,78,>= 71
SB Odedra,SB Odedra (Lightning),5.98,13,11 - 30
SIR Dunkley,SIR Dunkley (South East Stars),4.06,15,11 - 30
SN Luff,SN Luff (Western Storm),7.38,6,<= 10
Sonali Patel,Sonali Patel (Sunrisers),5.7,58,31 - 70
T Graves,T Graves (Lightning),4.26,54,31 - 70
TF Brookes,TF Brookes (Central Sparks),4.3,10,<= 10
TG Norris,TG Norris (Southern Vipers),4.94,114,>= 71
Y Graves,Y Graves (Lightning),4.78,38,31 - 70
