season,batting_team,partnership,batter1,batter2,net_runs,batter1_runs,batter2_runs
2021,Sunrisers,AJ Macleod & G Scrivens,AJ Macleod,G Scrivens,53,28,19
2020,Southern Vipers,CE Dean & CE Rudd,CE Dean,CE Rudd,52,24,23
2021,Southern Vipers,CE Rudd & DN Wyatt,CE Rudd,DN Wyatt,52,10,39
2021,South East Stars,SIR Dunkley & A Cranstone,SIR Dunkley,A Cranstone,52,29,15
2020,Lightning,KE Bryce & RA Fackrell,KE Bryce,RA Fackrell,52,42,8
2020,South East Stars,GJ Gibbs & R Southby,GJ Gibbs,R Southby,52,35,14
2020,Sunrisers,KS Castle & AD Carr,KS Castle,AD Carr,52,21,26
2021,Thunder,N Brown & E Threlkeld,N Brown,E Threlkeld,51,20,24
2021,Lightning,T Graves & Y Graves,T Graves,Y Graves,51,25,21
2020,Southern Vipers,E Windsor & GL Adams,E Windsor,GL Adams,51,16,31
2021,Lightning,SB Odedra & AJ Freeborn,SB Odedra,AJ Freeborn,51,24,21
2021,Lightning,SJ Bryce & B Harmer,SJ Bryce,B Harmer,51,30,19
2020,Northern Diamonds,PC Graham & AL MacDonald,PC Graham,AL MacDonald,51,14,26
2020,South East Stars,M Blythin & KE White,M Blythin,KE White,50,19,30
2021,South East Stars,Emma Jones & K Moore,Emma Jones,K Moore,50,14,36
2021,Northern Diamonds,BA Langston & SL Kalis,BA Langston,SL Kalis,49,26,20
2021,Thunder,E Threlkeld & L Jackson,E Threlkeld,L Jackson,49,24,19
2020,Western Storm,SN Luff & LA Parfitt,SN Luff,LA Parfitt,49,25,18
2020,South East Stars,FR Davies & NE Farrant,FR Davies,NE Farrant,49,12,28
2020,Western Storm,DR Gibson & GM Hennessy,DR Gibson,GM Hennessy,49,19,30
2020,Thunder,A Hartley & AE Dyson,A Hartley,AE Dyson,48,14,22
2021,Northern Diamonds,A Campbell & L Dobson,A Campbell,L Dobson,48,26,10
2021,South East Stars,PA Franklin & A Cranstone,PA Franklin,A Cranstone,47,28,17
2020,Western Storm,C Nicholas & LA Parfitt,C Nicholas,LA Parfitt,47,22,16
2020,South East Stars,HV Jones & SE Rowe,HV Jones,SE Rowe,47,16,28
2021,Lightning,KE Bryce & ML Kirk,KE Bryce,ML Kirk,47,12,30
2021,Lightning,KL Gordon & Y Graves,KL Gordon,Y Graves,47,25,19
2021,Northern Diamonds,LCN Smith & BA Langston,LCN Smith,BA Langston,46,8,33
2021,South East Stars,PA Franklin & KM Chathli,PA Franklin,KM Chathli,46,32,14
2021,Lightning,KL Gordon & S Munro,KL Gordon,S Munro,46,23,15
